Scenario,Controller,IAE,ISE,Overshoot_%,Settling_s,Energy_sum_u2,Violation_s
step_Ta20_nominal,PID,20332.037488574104,502648.58266156545,0.0,900.0,885.0620382646523,0.0
step_Ta20_nominal,MPC,20278.184190141677,500285.2611366019,0.0,900.0,889.3856000000001,0.0
step_Ta20_minus20,PID,18262.682435305444,429892.1721712899,0.0,900.0,881.7877278895918,0.0
step_Ta20_minus20,MPC,18189.61771692198,427188.057027197,0.0,900.0,889.3856000000001,0.0
step_Ta20_plus20,PID,21849.71753873814,563455.98700746,0.0,900.0,886.0889694805586,0.0
step_Ta20_plus20,MPC,21804.85132956561,561307.6354631827,0.0,900.0,889.3856000000001,0.0
step_Ta25_nominal,PID,20040.12756046653,491786.7589775725,0.0,900.0,884.6966090415154,0.0
step_Ta25_nominal,MPC,19985.486269615598,489439.1980590982,0.0,900.0,889.3856000000001,0.0
step_Ta25_minus20,PID,17828.32372211778,416317.596424676,0.0,900.0,881.0351443161513,0.0
step_Ta25_minus20,MPC,17752.872272239292,413639.6000683715,0.0,900.0,889.3856000000001,0.0
step_Ta25_plus20,PID,21640.001678930206,554737.0329413386,0.0,900.0,886.0125664696222,0.0
step_Ta25_plus20,MPC,21595.005239204766,552606.1604628535,0.0,900.0,889.3856000000001,0.0
step_Ta30_nominal,PID,19748.4062807597,481175.325253953,0.0,900.0,884.2591201543464,0.0
step_Ta30_nominal,MPC,19692.788349090828,478840.3125579075,0.0,900.0,889.3856000000001,0.0
step_Ta30_minus20,PID,17394.51656576187,403293.77082519047,0.0,900.0,880.3008262492867,0.0
step_Ta30_minus20,MPC,17316.126827555574,400638.2793784109,0.0,900.0,889.3856000000001,0.0
step_Ta30_plus20,PID,21430.39667093393,546148.9263064608,0.0,900.0,885.8805345158921,0.0
step_Ta30_plus20,MPC,21385.159148844526,544032.3341875196,0.0,900.0,889.3856000000001,0.0
ramp_Ta20_nominal,PID,11560.79577838679,175545.19814449683,0.0,900.0,844.8713049352098,0.0
ramp_Ta20_nominal,MPC,10810.684190141677,156625.4357898159,0.0,900.0,889.3856000000001,0.0
ramp_Ta20_minus20,PID,9651.327591222835,122692.48924926674,0.0,900.0,840.0557904701199,0.0
ramp_Ta20_minus20,MPC,8722.117716921977,103476.21376251515,0.0,900.0,889.3856000000001,0.0
ramp_Ta20_plus20,PID,12970.093487138283,221430.02350886085,0.0,900.0,846.9724016735327,0.0
ramp_Ta20_plus20,MPC,12337.35132956561,203331.9242672298,0.0,900.0,889.3856000000001,0.0
ramp_Ta25_nominal,PID,11277.910020624739,167088.1350934342,0.0,900.0,844.0516733993516,0.0
ramp_Ta25_nominal,MPC,10517.986269615596,148403.58760304344,0.0,900.0,889.3856000000001,0.0
ramp_Ta25_minus20,PID,9235.596529008953,112661.16158434676,0.0,900.0,838.2111499592642,0.0
ramp_Ta25_minus20,MPC,8285.372272239296,93901.65988063089,0.0,900.0,889.3856000000001,0.0
ramp_Ta25_plus20,PID,12765.87527949996,214458.2508473103,0.0,900.0,846.5188141509886,0.0
ramp_Ta25_plus20,MPC,12127.505239204764,196489.74335989813,0.0,900.0,889.3856000000001,0.0
ramp_Ta30_nominal,PID,10995.50412654687,158877.20352744922,0.0,900.0,843.1554286135618,0.0
ramp_Ta30_nominal,MPC,10225.288349090828,140428.91699257988,0.0,900.0,889.3856000000001,0.0
ramp_Ta30_minus20,PID,8821.650006230888,103170.4339323081,0.0,900.0,836.5489016788019,0.0
ramp_Ta30_minus20,MPC,7848.626827555574,84874.24226760905,0.0,900.0,889.3856000000001,0.0
ramp_Ta30_plus20,PID,12561.778341053312,207611.86942845042,0.0,900.0,846.0552819029259,0.0
ramp_Ta30_plus20,MPC,11917.659148844528,189775.211177551,0.0,900.0,889.3856000000001,0.0
multistep_Ta20_nominal,PID,9945.557055779795,156345.05526703206,3.5795687792775865,707.0,741.9439080915232,0.0
multistep_Ta20_nominal,MPC,9810.361414438106,154871.4630261304,0.5156563071719589,699.0,734.1657935714031,0.0
multistep_Ta20_minus20,PID,8914.09004791634,128129.84744661584,11.076002741113378,893.0,668.643873756977,0.0
multistep_Ta20_minus20,MPC,8621.314567606152,126086.60117218718,8.68775474527844,753.0,660.4290524591078,0.0
multistep_Ta20_plus20,PID,11120.994002993612,181803.0934123823,0.0,832.0,824.0995046058923,0.0
multistep_Ta20_plus20,MPC,11021.828565806632,180384.3761898528,0.0,816.0,846.5183009437721,0.0
multistep_Ta25_nominal,PID,9800.771621341042,152116.061406575,4.897824681136171,833.0,731.5479441176974,0.0
multistep_Ta25_nominal,MPC,9619.03785548436,150600.90955230774,0.956911531571052,679.0,715.7247518100751,0.0
multistep_Ta25_minus20,PID,8743.54570480809,123189.16423763864,12.483630301996378,900.0,652.1040859830272,0.0
multistep_Ta25_minus20,MPC,8456.746071627984,121072.30042968159,10.431314293664613,790.0,646.7711499050827,0.0
multistep_Ta25_plus20,PID,10928.273433452323,178073.40767424315,0.0,813.0,808.753702558348,0.0
multistep_Ta25_plus20,MPC,10834.553112762613,176693.5196877131,0.0,797.0,827.0652563785218,0.0
multistep_Ta30_nominal,PID,9676.869825608179,148066.78404485848,6.496548345537008,882.0,722.9964952075919,0.0
multistep_Ta30_nominal,MPC,9445.792998859113,146466.78980981518,2.3529957929684286,661.0,704.0531512588046,0.0
multistep_Ta30_minus20,PID,8596.53880661501,118556.48589062804,13.901879746882633,900.0,638.2527045023865,0.0
multistep_Ta30_minus20,MPC,8319.597265533896,116357.061700874,12.139108718452043,851.0,635.0572598974214,0.0
multistep_Ta30_plus20,PID,10741.474911806805,174452.52065893548,0.29690992370824176,796.0,795.212746320678,0.0
multistep_Ta30_plus20,MPC,10655.383688639493,173107.19121668526,0.011176683844418278,779.0,808.693277571654,0.0
